,State,Type,Operation,Count
273,HP,delta7,tested,64352
274,HP,delta7,vaccinated1,13244
275,HP,delta7,vaccinated2,234011
276,HP,meta,date,10/31/2021
277,HP,meta,last_updated,2021-11-01T09:54:14+05:30
278,HP,meta,population,7300000
279,HP,meta,tested,10/31/2021
280,HP,meta,tested,https://twitter.com/nhm_hp/status/1454810267364200449?s=20
281,HP,meta,vaccinated,10/31/2021
282,HP,total,confirmed,224106
283,HP,total,deceased,3738
284,HP,total,other,16
285,HP,total,recovered,218410
286,HP,total,tested,3685011
287,HP,total,vaccinated1,5713695
288,HP,total,vaccinated2,3443823
289,HR,delta,confirmed,11
290,HR,delta,recovered,10
291,HR,delta,tested,20588
292,HR,delta,vaccinated1,7867
293,HR,delta,vaccinated2,15801
294,HR,delta21_14,confirmed,83
295,HR,delta7,confirmed,95
296,HR,delta7,recovered,87
297,HR,delta7,tested,148110
298,HR,delta7,vaccinated1,160777
299,HR,delta7,vaccinated2,368141
300,HR,meta,date,10/31/2021
301,HR,meta,last_updated,2021-11-01T09:54:14+05:30
302,HR,meta,population,28672000
303,HR,meta,tested,10/31/2021
304,HR,meta,tested,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2031-10-2021.pdf
305,HR,meta,vaccinated,10/31/2021
306,HR,total,confirmed,771252
307,HR,total,deceased,10049
308,HR,total,recovered,761068
309,HR,total,tested,13032504
310,HR,total,vaccinated1,17772376
311,HR,total,vaccinated2,8115463
312,JH,delta,confirmed,10
313,JH,delta,recovered,8
314,JH,delta,tested,31238
315,JH,delta,vaccinated1,41034
316,JH,delta,vaccinated2,51488
317,JH,delta21_14,confirmed,78
318,JH,delta7,confirmed,137
319,JH,delta7,deceased,3
320,JH,delta7,recovered,250
321,JH,delta7,tested,464579
322,JH,delta7,vaccinated1,299587
323,JH,delta7,vaccinated2,428313
324,JH,meta,date,10/31/2021
325,JH,meta,last_updated,2021-11-01T09:54:14+05:30
326,JH,meta,population,37403000
327,JH,meta,tested,10/31/2021
328,JH,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11884
329,JH,meta,vaccinated,10/31/2021
330,JH,total,confirmed,348764
331,JH,total,deceased,5138
332,JH,total,recovered,343518
333,JH,total,tested,15985878
334,JH,total,vaccinated1,14986646
335,JH,total,vaccinated2,5585648
336,JK,delta,confirmed,95
337,JK,delta,recovered,79
338,JK,delta,tested,38915
339,JK,delta,vaccinated1,1584
340,JK,delta,vaccinated2,45202
341,JK,delta21_14,confirmed,529
342,JK,delta7,confirmed,611
343,JK,delta7,deceased,3
344,JK,delta7,recovered,572
345,JK,delta7,tested,254608
346,JK,delta7,vaccinated1,33383
347,JK,delta7,vaccinated2,414843
348,JK,meta,date,10/31/2021
349,JK,meta,last_updated,2021-11-01T09:54:14+05:30
350,JK,meta,population,13203000
351,JK,meta,tested,10/31/2021
352,JK,meta,tested,https://twitter.com/diprjk/status/1454804735307894787?s=20
353,JK,meta,vaccinated,10/31/2021
354,JK,total,confirmed,332249
355,JK,total,deceased,4432
356,JK,total,recovered,326915
357,JK,total,tested,16202346
358,JK,total,vaccinated1,9511073
359,JK,total,vaccinated2,5149471
360,KA,delta,confirmed,292
361,KA,delta,deceased,11
362,KA,delta,recovered,345
363,KA,delta,tested,106939
364,KA,delta,vaccinated1,17604
365,KA,delta,vaccinated2,28163
366,KA,delta21_14,confirmed,2432
367,KA,delta7,confirmed,2347
368,KA,delta7,deceased,75
369,KA,delta7,recovered,2339
370,KA,delta7,tested,724215
371,KA,delta7,vaccinated1,623591
372,KA,delta7,vaccinated2,1373861
373,KA,meta,date,10/31/2021
374,KA,meta,last_updated,2021-11-01T09:54:14+05:30
375,KA,meta,population,65798000
376,KA,meta,tested,10/31/2021
377,KA,meta,tested,https://t.co/pjWOnWUs3q?amp=1
378,KA,meta,vaccinated,10/31/2021
379,KA,total,confirmed,2988333
380,KA,total,deceased,38082
381,KA,total,other,29
382,KA,total,recovered,2941578
383,KA,total,tested,50873103
384,KA,total,vaccinated1,42497761
385,KA,total,vaccinated2,22858384
386,KL,delta,confirmed,7167
387,KL,delta,deceased,167
388,KL,delta,recovered,6439
389,KL,delta,tested,65158
390,KL,delta,vaccinated1,2010
391,KL,delta,vaccinated2,11914
392,KL,delta21_14,confirmed,59521
393,KL,delta7,confirmed,53326
394,KL,delta7,deceased,3089
395,KL,delta7,recovered,48406
396,KL,delta7,tested,506604
397,KL,delta7,vaccinated1,109805
398,KL,delta7,vaccinated2,792534
399,KL,meta,date,10/31/2021
400,KL,meta,last_updated,2021-11-01T09:54:14+05:30
401,KL,meta,population,35125000
402,KL,meta,tested,10/31/2021
403,KL,meta,tested,https://dhs.kerala.gov.in/wp-content/uploads/2021/10/Bulletin-HFWD-English-October-31.pdf
404,KL,meta,vaccinated,10/31/2021
405,KL,total,confirmed,4968657
406,KL,total,deceased,31681
407,KL,total,other,529
408,KL,total,recovered,4857181
409,KL,total,tested,37886378
410,KL,total,vaccinated1,25306499
411,KL,total,vaccinated2,13658343
412,LA,delta,confirmed,11
413,LA,delta,recovered,9
414,LA,delta,tested,388
415,LA,delta,vaccinated2,2
416,LA,delta21_14,confirmed,26
417,LA,delta7,confirmed,58
418,LA,delta7,recovered,28
419,LA,delta7,tested,2475
420,LA,delta7,vaccinated1,525
421,LA,delta7,vaccinated2,1532
422,LA,meta,date,10/31/2021
423,LA,meta,last_updated,2021-11-01T09:54:14+05:30
424,LA,meta,population,293000
425,LA,meta,tested,10/31/2021
426,LA,meta,tested,https://twitter.com/prasarbharti/status/1454872140436541444
427,LA,meta,vaccinated,10/31/2021
428,LA,total,confirmed,20962
429,LA,total,deceased,208
430,LA,total,recovered,20687
431,LA,total,tested,555568
432,LA,total,vaccinated1,208798
433,LA,total,vaccinated2,152280
434,LD,delta,tested,31
435,LD,delta,vaccinated2,4
436,LD,delta7,tested,1625
437,LD,delta7,vaccinated1,69
438,LD,delta7,vaccinated2,796
439,LD,meta,date,10/31/2021
440,LD,meta,last_updated,2021-11-01T11:03:10+05:30
441,LD,meta,population,68000
442,LD,meta,tested,10/31/2021
443,LD,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11888
444,LD,meta,vaccinated,10/31/2021
445,LD,total,confirmed,10365
446,LD,total,deceased,51
447,LD,total,other,44
448,LD,total,recovered,10270
449,LD,total,tested,263541
450,LD,total,vaccinated1,55129
451,LD,total,vaccinated2,45951
452,MH,delta,confirmed,1172
453,MH,delta,deceased,20
454,MH,delta,recovered,1399
455,MH,delta,tested,108040
456,MH,delta,vaccinated1,53161
457,MH,delta,vaccinated2,31988
458,MH,delta21_14,confirmed,13825
459,MH,delta7,confirmed,8117
460,MH,delta7,deceased,200
461,MH,delta7,other,7
462,MH,delta7,recovered,15146
463,MH,delta7,tested,773516
464,MH,delta7,vaccinated1,1611778
465,MH,delta7,vaccinated2,1282938
466,MH,meta,date,10/31/2021
467,MH,meta,last_updated,2021-11-01T09:54:14+05:30
468,MH,meta,notes,"[Dec 16]:10,218 duplicate cases & other state cases removed from total cases.791 recovered cases also removed from total recovered cases while reconciling 
[Sep 9] :239 cases have been removed from the hospitalized figures owing to the removal of duplicates and change of addresses as per the original residence
[Aug 15] : MH bulletin has reduced 819 confirmed cases in Mumbai and 72 confirmed cases from 'Other States' from the tally
[Jun 16] : 1328 deceased cases have been retroactively added to MH bulletin.
[Jun 20] : 69 deceased cases have been reduced based on state bulletin.
[Sep 9 2021]: 15066 positive cases and 15793 discharged cases have been reduced from state total based on reconciliation (as mentioned in the bulletin)"
469,MH,meta,population,122153000
470,MH,meta,tested,10/31/2021
471,MH,meta,tested,https://twitter.com/PIBMumbai/status/1454819081123598345
472,MH,meta,vaccinated,10/31/2021
473,MH,total,confirmed,6611078
474,MH,total,deceased,140216
475,MH,total,other,3619
476,MH,total,recovered,6450585
477,MH,total,tested,62667211
478,MH,total,vaccinated1,67198794
479,MH,total,vaccinated2,30975692
480,ML,delta,confirmed,22
481,ML,delta,deceased,1
482,ML,delta,recovered,51
483,ML,delta,tested,1559
484,ML,delta,vaccinated1,38
485,ML,delta,vaccinated2,203
486,ML,delta21_14,confirmed,530
487,ML,delta7,confirmed,256
488,ML,delta7,deceased,4
489,ML,delta7,recovered,460
490,ML,delta7,tested,13944
491,ML,delta7,vaccinated1,7871
492,ML,delta7,vaccinated2,41927
493,ML,meta,date,10/31/2021
494,ML,meta,last_updated,2021-11-01T09:54:14+05:30
495,ML,meta,population,3224000
496,ML,meta,tested,10/31/2021
497,ML,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11881
498,ML,meta,vaccinated,10/31/2021
499,ML,total,confirmed,83627
500,ML,total,deceased,1450
501,ML,total,recovered,81746
502,ML,total,tested,1151665
503,ML,total,vaccinated1,1103275
504,ML,total,vaccinated2,641819
505,MN,delta,confirmed,63
506,MN,delta,deceased,1
507,MN,delta,recovered,62
508,MN,delta,tested,1689
509,MN,delta,vaccinated1,705
510,MN,delta,vaccinated2,4283
511,MN,delta21_14,confirmed,734
512,MN,delta7,confirmed,439
513,MN,delta7,deceased,10
514,MN,delta7,recovered,652
515,MN,delta7,tested,12787
516,MN,delta7,vaccinated1,7665
517,MN,delta7,vaccinated2,71276
518,MN,meta,date,10/31/2021
519,MN,meta,last_updated,2021-11-01T09:54:14+05:30
520,MN,meta,notes,[Dec 14]:824 out of 980 recovered cases are backdated.
521,MN,meta,population,3103000
522,MN,meta,tested,10/31/2021
523,MN,meta,tested,https://nrhmmanipur.org/?p=8037
524,MN,meta,vaccinated,10/31/2021
525,MN,total,confirmed,123731
526,MN,total,deceased,1921
527,MN,total,recovered,121102
528,MN,total,tested,1367673
529,MN,total,vaccinated1,1249436
530,MN,total,vaccinated2,719413
531,MP,delta,confirmed,16
532,MP,delta,recovered,8
533,MP,delta,tested,55368
534,MP,delta,vaccinated1,5713
535,MP,delta,vaccinated2,77062
536,MP,delta21_14,confirmed,63
537,MP,delta7,confirmed,105
538,MP,delta7,deceased,1
539,MP,delta7,recovered,74
540,MP,delta7,tested,393209
541,MP,delta7,vaccinated1,148817
542,MP,delta7,vaccinated2,2034460
543,MP,meta,date,10/31/2021
544,MP,meta,last_updated,2021-11-01T09:54:14+05:30
545,MP,meta,notes,"[14 Oct'20]: 4469 confirmed cases and 4469 recoveries added in MP bulletin as reconciliation with private labs and hospitals
[12 July'21] :1478 deceased cases have been added after reconciliation of deceased cases records from Home Isolation(208), Private Hospitals(762) and other districts data (508)"
546,MP,meta,population,82232000
547,MP,meta,tested,10/31/2021
548,MP,meta,tested,https://twitter.com/healthminmp/status/1454818706534514697
549,MP,meta,vaccinated,10/31/2021
550,MP,total,confirmed,792854
551,MP,total,deceased,10524
552,MP,total,recovered,782215
553,MP,total,tested,20294225
554,MP,total,vaccinated1,49911938
555,MP,total,vaccinated2,20838045
556,MZ,delta,confirmed,579
557,MZ,delta,deceased,2
558,MZ,delta,recovered,610
559,MZ,delta,tested,5945
560,MZ,delta,vaccinated1,10
561,MZ,delta,vaccinated2,51
562,MZ,delta21_14,confirmed,6770
563,MZ,delta7,confirmed,4098
564,MZ,delta7,deceased,21
565,MZ,delta7,recovered,5685
566,MZ,delta7,tested,42841
567,MZ,delta7,vaccinated1,4302
568,MZ,delta7,vaccinated2,11262
569,MZ,meta,date,10/31/2021
570,MZ,meta,last_updated,2021-11-01T09:54:14+05:30
571,MZ,meta,population,1192000
572,MZ,meta,tested,10/31/2021
573,MZ,meta,tested,https://dipr.mizoram.gov.in/post/covid-19-positive-thar-579-hmuhchhuah-a-ni
574,MZ,meta,vaccinated,10/31/2021
575,MZ,total,confirmed,121359
576,MZ,total,deceased,432
577,MZ,total,recovered,114612
578,MZ,total,tested,1298444
579,MZ,total,vaccinated1,711597
580,MZ,total,vaccinated2,512029
581,NL,delta,confirmed,11
582,NL,delta,deceased,1
583,NL,delta,other,1
584,NL,delta,recovered,21
585,NL,delta,tested,468
586,NL,delta,vaccinated1,193
587,NL,delta,vaccinated2,822
588,NL,delta21_14,confirmed,162
589,NL,delta7,confirmed,130
590,NL,delta7,deceased,6
591,NL,delta7,other,13
592,NL,delta7,recovered,144
593,NL,delta7,tested,4606
594,NL,delta7,vaccinated1,4706
595,NL,delta7,vaccinated2,23628
596,NL,meta,date,10/31/2021
597,NL,meta,last_updated,2021-11-01T09:54:14+05:30
598,NL,meta,population,2150000
599,NL,meta,tested,10/31/2021
600,NL,meta,tested,https://twitter.com/MyGovNagaland/status/1454788808122138641
601,NL,meta,vaccinated,10/31/2021
602,NL,total,confirmed,31842
603,NL,total,deceased,685
604,NL,total,other,1043
605,NL,total,recovered,29904
606,NL,total,tested,395416
607,NL,total,vaccinated1,709553
608,NL,total,vaccinated2,490663
609,OR,delta,confirmed,488
610,OR,delta,deceased,4
611,OR,delta,recovered,450
612,OR,delta,tested,69675
613,OR,delta,vaccinated1,21420
614,OR,delta,vaccinated2,25651
615,OR,delta21_14,confirmed,3381
616,OR,delta7,confirmed,3046
617,OR,delta7,deceased,24
618,OR,delta7,recovered,3230
619,OR,delta7,tested,473919
620,OR,delta7,vaccinated1,731837
621,OR,delta7,vaccinated2,917236
622,OR,meta,date,10/31/2021
623,OR,meta,last_updated,2021-11-01T09:54:14+05:30
624,OR,meta,notes,[July 12th] :20 non-covid deaths reported in state dashboard are included in the deceased count
625,OR,meta,population,43671000
626,OR,meta,tested,10/31/2021
627,OR,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11880
628,OR,meta,vaccinated,10/31/2021
629,OR,total,confirmed,1041457
630,OR,total,deceased,8386
631,OR,total,recovered,1029147
632,OR,total,tested,21994343
633,OR,total,vaccinated1,25736641
634,OR,total,vaccinated2,11560912
635,PB,delta,confirmed,26
636,PB,delta,deceased,1
637,PB,delta,recovered,25
638,PB,delta,tested,34152
639,PB,delta,vaccinated1,3321
640,PB,delta,vaccinated2,4418
641,PB,delta21_14,confirmed,159
642,PB,delta7,confirmed,192
643,PB,delta7,deceased,8
644,PB,delta7,recovered,162
645,PB,delta7,tested,221114
646,PB,delta7,vaccinated1,200182
647,PB,delta7,vaccinated2,223256
648,PB,meta,date,10/31/2021
649,PB,meta,last_updated,2021-11-01T09:54:14+05:30
650,PB,meta,population,29859000
651,PB,meta,tested,10/31/2021
652,PB,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11874
653,PB,meta,vaccinated,10/31/2021
654,PB,total,confirmed,602401
655,PB,total,deceased,16559
656,PB,total,recovered,585591
657,PB,total,tested,15429415
658,PB,total,vaccinated1,15942714
659,PB,total,vaccinated2,6238973
660,PY,delta,confirmed,38
661,PY,delta,recovered,45
662,PY,delta,tested,2662
663,PY,delta,vaccinated1,171
664,PY,delta,vaccinated2,532
665,PY,delta21_14,confirmed,343
666,PY,delta7,confirmed,278
667,PY,delta7,recovered,315
668,PY,delta7,tested,21095
669,PY,delta7,vaccinated1,8324
670,PY,delta7,vaccinated2,20073
671,PY,meta,date,10/31/2021
672,PY,meta,last_updated,2021-11-01T09:54:14+05:30
673,PY,meta,population,1504000
674,PY,meta,tested,10/31/2021
675,PY,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11866
676,PY,meta,vaccinated,10/31/2021
677,PY,total,confirmed,128013
678,PY,total,deceased,1857
679,PY,total,recovered,125726
680,PY,total,tested,1919060
681,PY,total,vaccinated1,733922
682,PY,total,vaccinated2,404355
683,RJ,delta,confirmed,2
684,RJ,delta,recovered,2
685,RJ,delta,tested,13454
686,RJ,delta,vaccinated1,9399
687,RJ,delta,vaccinated2,29672
688,RJ,delta21_14,confirmed,31
689,RJ,delta7,confirmed,27
690,RJ,delta7,recovered,26
691,RJ,delta7,tested,95132
692,RJ,delta7,vaccinated1,271500
693,RJ,delta7,vaccinated2,864947
694,RJ,meta,date,10/31/2021
695,RJ,meta,last_updated,2021-11-01T09:54:14+05:30
696,RJ,meta,population,77264000
697,RJ,meta,tested,10/31/2021
698,RJ,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11883
699,RJ,meta,vaccinated,10/31/2021
700,RJ,total,confirmed,954429
701,RJ,total,deceased,8954
702,RJ,total,recovered,945443
703,RJ,total,tested,14807752
704,RJ,total,vaccinated1,42544909
705,RJ,total,vaccinated2,20097635
706,SK,delta,confirmed,21
707,SK,delta,deceased,1
708,SK,delta,recovered,8
709,SK,delta,tested,389
710,SK,delta21_14,confirmed,82
711,SK,delta7,confirmed,79
712,SK,delta7,deceased,2
713,SK,delta7,other,6
714,SK,delta7,recovered,76
715,SK,delta7,tested,2847
716,SK,delta7,vaccinated1,782
717,SK,delta7,vaccinated2,14044
718,SK,meta,date,10/31/2021
719,SK,meta,last_updated,2021-10-31T20:49:45+05:30
720,SK,meta,population,664000
721,SK,meta,tested,10/31/2021
722,SK,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11867
723,SK,meta,vaccinated,10/31/2021
724,SK,total,confirmed,31979
725,SK,total,deceased,396
726,SK,total,other,325
727,SK,total,recovered,31063
728,SK,total,tested,261343
729,SK,total,vaccinated1,521763
730,SK,total,vaccinated2,451509
731,TG,delta,confirmed,121
732,TG,delta,deceased,1
733,TG,delta,recovered,183
734,TG,delta,tested,25021
735,TG,delta,vaccinated1,38781
736,TG,delta,vaccinated2,26738
737,TG,delta21_14,confirmed,1068
738,TG,delta7,confirmed,1189
739,TG,delta7,deceased,9
740,TG,delta7,recovered,1121
741,TG,delta7,tested,261086
742,TG,delta7,vaccinated1,1072389
743,TG,delta7,vaccinated2,961422
744,TG,meta,date,10/31/2021
745,TG,meta,last_updated,2021-11-01T09:54:14+05:30
